,virus,Start,End,Score
0,nc_045512.2.fasta.S10-20_L0-8_M2.pal,0,100,0
1,nc_045512.2.fasta.S10-20_L0-8_M2.pal,50,150,1
2,nc_045512.2.fasta.S10-20_L0-8_M2.pal,100,200,1
3,nc_045512.2.fasta.S10-20_L0-8_M2.pal,150,250,1
4,nc_045512.2.fasta.S10-20_L0-8_M2.pal,200,300,0
5,nc_045512.2.fasta.S10-20_L0-8_M2.pal,250,350,0
6,nc_045512.2.fasta.S10-20_L0-8_M2.pal,300,400,0
7,nc_045512.2.fasta.S10-20_L0-8_M2.pal,350,450,0
8,nc_045512.2.fasta.S10-20_L0-8_M2.pal,400,500,0
9,nc_045512.2.fasta.S10-20_L0-8_M2.pal,450,550,0
10,nc_045512.2.fasta.S10-20_L0-8_M2.pal,500,600,0
11,nc_045512.2.fasta.S10-20_L0-8_M2.pal,550,650,0
12,nc_045512.2.fasta.S10-20_L0-8_M2.pal,600,700,0
13,nc_045512.2.fasta.S10-20_L0-8_M2.pal,650,750,0
14,nc_045512.2.fasta.S10-20_L0-8_M2.pal,700,800,2
15,nc_045512.2.fasta.S10-20_L0-8_M2.pal,750,850,2
16,nc_045512.2.fasta.S10-20_L0-8_M2.pal,800,900,0
17,nc_045512.2.fasta.S10-20_L0-8_M2.pal,850,950,0
18,nc_045512.2.fasta.S10-20_L0-8_M2.pal,900,1000,0
19,nc_045512.2.fasta.S10-20_L0-8_M2.pal,950,1050,0
20,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1000,1100,0
21,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1050,1150,3
22,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1100,1200,3
23,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1150,1250,1
24,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1200,1300,1
25,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1250,1350,0
26,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1300,1400,0
27,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1350,1450,0
28,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1400,1500,0
29,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1450,1550,0
30,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1500,1600,0
31,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1550,1650,4
32,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1600,1700,6
33,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1650,1750,13
34,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1700,1800,17
35,nc_045512.2.fasta.S10-20_L0-8_M2.pal,1750,1850,9
